id,grp,cycle_time_days,created_date
614,0,-1,2013-10-19
612,0,-1,2014-01-03
611,0,-1,2014-01-04
670,0,-1,2013-11-21
669,0,-1,2013-10-28
658,0,-1,2013-10-28
656,0,36,2013-11-03
657,0,108,2014-07-27
655,0,-1,2014-04-10
652,0,-1,2013-10-28
692,0,62,2014-04-14
3010,0,-1,2014-07-24
3002,0,-1,2014-08-07
3003,0,4,2014-07-24
6999,0,10,2015-11-02
3001,0,-1,2014-07-24
6993,0,5,2015-10-29
3006,0,1,2014-08-13
3007,0,1,2014-07-26
3004,0,1,2014-11-24
3005,0,1,2014-07-26
3008,0,24,2014-07-26
3009,0,2,2014-07-24
3011,0,9,2014-07-26
3071,0,2,2014-07-29
3070,0,2,2014-08-02
3068,0,5,2014-07-29
3069,0,1,2014-07-29
3066,0,10,2014-07-29
3067,0,-1,2014-08-20
3077,0,-1,2014-12-18
3078,0,2,2014-07-30
5601,0,-1,2015-03-31
5610,0,9,2015-04-13
5614,0,1,2015-04-03
5613,0,1,2015-04-03
5612,0,-1,2015-04-01
5611,0,1,2015-04-15
5617,0,1,2015-04-04
5616,0,1,2015-04-04
5615,0,1,2015-04-03
5619,0,12,2015-04-07
6913,0,2,2015-10-08
6914,0,-1,2015-10-10
6924,0,11,2015-10-08
6980,0,1,2015-10-14
5641,0,7,2015-04-12
6978,0,1,2015-10-16
5640,0,9,2015-04-12
6971,0,6,2015-10-13
6972,0,6,2015-10-21
6973,0,12,2015-10-13
6990,0,10,2015-10-29
6991,0,6,2015-10-21
6992,0,5,2015-10-29
6989,0,7,2015-10-21
6982,0,-1,2016-06-30
6983,0,-1,2016-03-05
5627,0,-1,2015-10-22
5626,0,10,2015-04-11
5633,0,1,2015-04-13
4309,0,-1,2014-11-09
5639,0,3,2015-04-14
4308,0,-1,2015-02-27
4307,0,-1,2015-01-30
13,1,-1,2015-04-17
14,1,-1,2015-04-17
15,1,10,2015-02-10
16,1,-1,2015-04-15
17,1,-1,2015-02-09
4274,1,2,2017-11-11
4273,1,1,2017-11-02
4278,1,-1,2017-12-08
4279,1,-1,2017-12-08
4281,1,12,2017-11-07
4280,1,8,2017-11-07
10,1,6,2015-02-10
11,1,29,2015-02-10
4282,1,51,2017-11-11
12,1,8,2015-02-10
4294,1,-1,2017-12-11
4295,1,1,2017-11-10
4298,1,-1,2017-12-13
4297,1,-1,2017-12-13
4299,1,2,2017-11-14
5921,0,2,2015-05-06
5927,0,1,2015-05-06
5933,0,-1,2015-05-12
5937,0,1,2015-05-19
5936,0,446,2015-05-17
5935,0,10,2015-06-19
4604,0,1,2014-12-09
5934,0,3,2015-07-15
5939,0,2,2015-05-07
5938,0,2,2015-05-19
5900,0,1,2015-05-21
5904,0,11,2015-05-07
5903,0,1,2015-05-17
5902,0,1,2015-05-21
5901,0,4,2015-05-09
5908,0,468,2017-06-09
5907,0,2,2015-05-08
5906,0,152,2015-12-07
5905,0,3,2015-05-13
5910,0,8,2015-05-06
90,1,-1,2015-05-10
4209,1,3,2017-10-23
4210,1,3,2017-10-22
4212,1,11,2017-10-23
4211,1,2,2017-10-19
4214,1,29,2017-10-26
4213,1,20,2017-10-23
81,1,-1,2015-05-04
4216,1,1,2017-10-26
4215,1,-1,2017-11-30
4218,1,2,2017-10-27
4217,1,11,2017-11-02
4219,1,4,2017-11-13
71,1,-1,2015-03-31
72,1,-1,2015-05-02
73,1,-1,2015-05-02
74,1,-1,2015-05-02
4220,1,19,2017-12-04
57,1,5,2015-03-01
58,1,6,2015-05-16
59,1,10,2015-03-21
60,1,3,2015-04-26
61,1,4,2015-05-09
62,1,-1,2015-04-30
46,1,-1,2015-04-27
47,1,-1,2015-04-27
52,1,-1,2015-05-01
54,1,5,2015-02-28
55,1,1,2015-02-28
56,1,4,2015-03-14
4249,1,1,2017-11-06
43,1,-1,2015-12-30
4250,1,4,2017-11-04
44,1,-1,2015-04-27
45,1,-1,2015-04-27
4251,1,6,2017-11-02
4253,1,-1,2017-10-31
4261,1,-1,2017-11-01
4263,1,-1,2017-12-06
4262,1,-1,2017-11-01
4265,1,-1,2017-12-06
4264,1,-1,2017-12-06
4267,1,-1,2017-12-06
4266,1,-1,2017-12-06
4268,1,-1,2017-12-06
2060,0,-1,2013-08-01
2063,0,-1,2013-01-18
3395,0,-1,2014-09-09
2064,0,-1,2013-01-28
2061,0,-1,2012-12-12
2062,0,-1,2013-01-15
2056,0,-1,2013-07-14
2057,0,-1,2013-07-17
3385,0,-1,2014-12-06
2054,0,-1,2013-07-05
3386,0,-1,2015-02-09
2055,0,-1,2013-07-05
2058,0,-1,2013-07-29
2059,0,-1,2013-08-01
2070,0,-1,2013-02-08
2071,0,-1,2013-02-16
2074,0,-1,2013-03-06
2075,0,-1,2013-03-09
2072,0,-1,2013-03-03
2073,0,-1,2013-03-05
3398,0,-1,2014-08-24
2067,0,-1,2013-01-31
2068,0,-1,2013-01-31
3396,0,-1,2014-10-21
2065,0,-1,2013-01-30
3397,0,20,2014-08-24
2066,0,-1,2013-01-31
2069,0,-1,2013-02-04
2041,0,-1,2013-05-24
2042,0,-1,2013-05-26
2040,0,-1,2013-05-24
3365,0,-1,2014-12-15
2034,0,-1,2013-05-16
3366,0,-1,2014-11-10
2035,0,-1,2013-05-17
2032,0,-1,2013-05-16
3364,0,10,2014-08-22
2033,0,-1,2013-05-16
2038,0,-1,2013-05-21
2039,0,-1,2013-05-22
3367,0,6,2014-09-09
2036,0,-1,2013-05-17
2037,0,-1,2013-05-18
3380,0,-1,2014-11-10
2052,0,-1,2013-07-05
2053,0,-1,2013-07-05
2050,0,-1,2013-07-04
2051,0,-1,2013-07-05
2045,0,-1,2013-06-19
2046,0,-1,2013-07-01
2043,0,-1,2013-05-26
3375,0,-1,2014-09-29
2044,0,-1,2013-05-31
2049,0,-1,2013-07-04
2047,0,-1,2013-07-03
2048,0,-1,2013-07-03
2098,0,-1,2013-04-14
2099,0,-1,2013-04-24
2081,0,-1,2013-03-17
2082,0,-1,2013-03-17
2080,0,-1,2013-03-17
2085,0,-1,2013-03-19
2086,0,-1,2013-03-19
2083,0,-1,2013-03-18
2084,0,-1,2013-03-19
19,0,-1,2013-06-19
2078,0,-1,2013-03-17
2079,0,-1,2013-03-17
2076,0,-1,2013-03-10
2077,0,-1,2013-03-17
24,0,123,2013-04-22
25,0,61,2013-04-22
2092,0,-1,2013-04-06
2093,0,-1,2013-04-09
2090,0,-1,2013-04-05
2091,0,-1,2013-04-06
2096,0,-1,2013-04-12
27,0,23,2013-04-22
2097,0,-1,2013-04-13
28,0,23,2013-04-22
2094,0,-1,2013-04-09
29,0,23,2013-04-22
2095,0,-1,2013-04-10
2089,0,-1,2013-04-01
2087,0,-1,2013-03-23
2088,0,-1,2013-03-30
34,0,18,2013-04-22
35,0,12,2013-04-22
36,0,7,2013-04-22
37,0,13,2013-05-15
30,0,24,2013-04-22
31,0,12,2013-04-22
32,0,12,2013-04-26
33,0,10,2013-04-22
38,0,84,2013-05-07
39,0,64,2013-04-22
4631,0,4,2014-12-25
4630,0,-1,2015-02-18
5966,0,-1,2015-06-12
5965,0,-1,2015-11-13
4634,0,-1,2015-02-18
5964,0,4,2015-05-24
4633,0,-1,2014-12-25
5963,0,1,2015-05-07
4632,0,-1,2015-02-18
4639,0,6,2014-12-14
4638,0,-1,2015-03-19
5968,0,-1,2015-06-12
5967,0,4,2015-05-31
40,0,10,2013-04-22
45,0,59,2013-05-11
46,0,59,2013-05-11
47,0,59,2013-05-11
48,0,59,2013-05-11
41,0,10,2013-04-30
42,0,58,2013-10-13
44,0,59,2013-05-11
49,0,3,2013-05-13
4642,0,-1,2015-03-20
4641,0,3,2014-12-28
4640,0,9,2014-12-18
4645,0,-1,2015-02-21
4643,0,-1,2015-03-20
4649,0,-1,2015-01-16
4648,0,-1,2015-03-23
50,0,-1,2013-08-07
51,0,-1,2013-08-07
56,0,-1,2013-04-29
57,0,-1,2013-04-29
58,0,-1,2013-04-29
59,0,102,2013-05-09
52,0,2,2013-05-13
53,0,11,2013-05-11
54,0,3,2013-05-13
55,0,57,2013-05-17
60,0,151,2014-01-11
4619,0,5,2014-12-01
67,0,58,2013-06-02
64,0,145,2014-06-16
5951,0,2,2015-05-11
5950,0,9,2015-05-09
5955,0,1,2015-05-14
4624,0,1,2015-02-28
4623,0,8,2015-02-28
4622,0,2,2014-12-16
